epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,4535.32,0.67947,0.4025,0.89916,0.93977,0.90625,0.95213,0.77602,0.57201,0.3279,0.8791,0.000983666,0.000983666,0.000983666
43,4643.75,0.67637,0.40229,0.89983,0.92967,0.91109,0.95219,0.77813,0.56233,0.32183,0.87654,0.000982864,0.000982864,0.000982864
44,4752.02,0.67299,0.39846,0.89846,0.93809,0.90759,0.95438,0.78258,0.5547,0.31757,0.87456,0.000982043,0.000982043,0.000982043
45,4860.31,0.66556,0.39263,0.8957,0.93397,0.91269,0.95443,0.78753,0.55185,0.31565,0.87347,0.000981204,0.000981204,0.000981204
46,4968.69,0.6642,0.39038,0.89235,0.94022,0.91518,0.9582,0.78935,0.55008,0.31219,0.87077,0.000980345,0.000980345,0.000980345
47,5077.18,0.66024,0.39321,0.89189,0.94432,0.91596,0.95808,0.79266,0.54035,0.31022,0.86899,0.000979468,0.000979468,0.000979468
48,5185.62,0.65509,0.38617,0.89221,0.9477,0.91188,0.95826,0.79692,0.53973,0.30777,0.86773,0.000978572,0.000978572,0.000978572
49,5293.89,0.64933,0.38317,0.8881,0.94378,0.91513,0.96006,0.79986,0.53458,0.30487,0.8655,0.000977658,0.000977658,0.000977658
50,5402.34,0.64461,0.37934,0.88544,0.94941,0.91729,0.96048,0.80342,0.52644,0.30103,0.8627,0.000976725,0.000976725,0.000976725
51,5510.72,0.6457,0.38042,0.88756,0.94495,0.92223,0.96161,0.80397,0.52462,0.30002,0.863,0.000975773,0.000975773,0.000975773
52,5618.87,0.63996,0.37473,0.88465,0.95049,0.92743,0.96204,0.80969,0.51724,0.29472,0.86085,0.000974803,0.000974803,0.000974803
53,5726.95,0.6386,0.37671,0.88456,0.94442,0.92679,0.96157,0.80608,0.51487,0.29452,0.8592,0.000973814,0.000973814,0.000973814
